date,p,pet,tmean,qobs
1979-03-15,0,3.09,11.763,NA
1979-03-16,0,3.08,12.639449,NA
1979-03-17,0,3.17,12.770945,NA
1979-03-18,0,2.96,12.371663,NA
1979-03-19,0,3.31,13.575601,NA
1979-03-20,0,3.18,14.248801,NA
1979-03-21,0,2.85,11.30744,NA
1979-03-22,0,2.85,11.487941,NA
1979-03-23,0,3.15,11.941888,NA
1979-03-24,0,3.06,11.878862,NA
1979-03-25,0,2.54,10.936423,NA
1979-03-26,0,2.46,10.370634,NA
1979-03-27,0,2.47,8.7796931,NA
1979-03-28,0,2.51,8.5611104,NA
1979-03-29,0,2.7,10.276668,NA
1979-03-30,0,2.5,10.022926,NA
1979-03-31,0,2.75,11.551291,NA
1979-04-01,0,2.84,11.939563,NA
1979-04-02,0,2.63,10.005171,NA
1979-04-03,3.2201877,1.99,5.5629106,NA
1979-04-04,4.5749652,1.22,1.4764713,NA
1979-04-05,0,2.31,5.3619541,NA
1979-04-06,0,2.65,7.7574583,NA
1979-04-07,0,2.42,10.702491,NA
1979-04-08,0,2.25,8.9728343,NA
1979-04-09,0,2.54,10.407769,NA
1979-04-10,0,2.77,13.404407,NA
1979-04-11,0,2.56,12.578861,NA
1979-04-12,0.0023033345,2.08,9.0102924,NA
1979-04-13,0,1.76,7.7046861,NA
1979-04-14,0,2.11,10.400377,NA
1979-04-15,0,2.43,11.327046,NA
1979-04-16,0,2.49,11.707038,NA
1979-04-17,0,2.38,11.103783,NA
1979-04-18,0,2.13,11.092294,NA
1979-04-19,0,1.99,11.522172,NA
1979-04-20,0.034311351,2.02,10.444747,NA
1979-04-21,0.004235242,2.14,10.837827,NA
1979-04-22,0.013220072,2.15,10.266609,NA
1979-04-23,0,2.31,9.9616172,NA
1979-04-24,0.0089848304,2.25,11.214657,NA
1979-04-25,0.0089848304,1.61,7.0322097,NA
1979-04-26,0,2.19,10.386228,NA
1979-04-27,4.4492873,1.47,7.3606768,NA
1979-04-28,0.022204903,1.34,4.6620464,NA
1979-04-29,0,1.32,4.8026234,NA
1979-04-30,0,1.76,7.8431435,NA
1979-05-01,0,1.89,9.1395494,NA
1979-05-02,10.865815,1.16,8.1243266,NA
1979-05-03,0,1.51,7.8250817,NA
1979-05-04,0,2.08,5.7151364,NA
1979-05-05,0,1.05,10.065286,NA
1979-05-06,0,1.45,8.388815,NA
1979-05-07,0,1.33,7.32357,NA
1979-05-08,0,1.6,7.8121007,NA
1979-05-09,0,1.61,8.561964,NA
1979-05-10,0.017969661,1.09,10.343102,NA
1979-05-11,0,1.41,8.8958101,NA
1979-05-12,0,1.64,7.4462174,NA
1979-05-13,0,1.43,8.5886342,NA
1979-05-14,0,1.58,9.5849437,NA
1979-05-15,0,1.49,6.8064205,NA
1979-05-16,0,1.45,7.0533948,NA
1979-05-17,0,0.28,10.44817,NA
1979-05-18,0,1.46,7.5281675,NA
1979-05-19,0,1.83,10.791134,NA
1979-05-20,0,1.63,9.1753556,NA
1979-05-21,0,1.69,5.9225025,NA
1979-05-22,0,1.28,9.8672493,NA
1979-05-23,0,1.64,10.427755,NA
1979-05-24,0,1.7,10.561258,NA
1979-05-25,0,1.36,8.7414739,NA
1979-05-26,0,1.6,8.935542,NA
1979-05-27,0.0048238154,1.63,5.9755106,NA
1979-05-28,0,0.99,8.6888096,NA
1979-05-29,0,1.28,0.96756421,NA
1979-05-30,0,1.58,7.2711256,NA
1979-05-31,0,1.44,10.978243,NA
1979-06-01,0,1.71,7.9117828,NA
1979-06-02,0,1.45,8.3303183,NA
1979-06-03,0,1.42,3.4649056,NA
1979-06-04,0,1.04,3.1036524,NA
1979-06-05,0,0.87,4.3706066,NA
1979-06-06,0,0.96,2.4889631,NA
1979-06-07,0,1.21,3.479162,NA
1979-06-08,0,1.22,4.2629973,NA
1979-06-09,0,1.37,4.470969,NA
1979-06-10,0,0.94,5.0718096,NA
1979-06-11,0,1.15,4.5544856,NA
1979-06-12,0,1,5.4631239,NA
1979-06-13,0,1.31,3.6986297,NA
1979-06-14,0,1.18,4.3177715,NA
1979-06-15,0,1.28,3.2284598,NA
1979-06-16,0,1.46,5.8006047,NA
1979-06-17,0,1.46,5.852906,NA
1979-06-18,0,1.43,7.8845315,NA
1979-06-19,0,1.51,7.1197844,NA
1979-06-20,0,1.35,6.905455,NA
1979-06-21,0,1.47,3.6190236,NA
1979-06-22,0,1.18,2.2737629,NA
1979-06-23,0,1.05,0.48299041,NA
1979-06-24,0,1.33,1.92734,NA
1979-06-25,0,1.48,6.9292707,NA
1979-06-26,0,1.47,7.6573682,NA
1979-06-27,0,1.44,7.1722697,NA
1979-06-28,0,1.32,8.432609,NA
1979-06-29,0.017969661,1.39,6.3520885,NA
1979-06-30,0.017969661,1,3.2752072,NA
1979-07-01,0,1.09,2.9023194,NA
1979-07-02,0,1.13,5.4703868,NA
1979-07-03,0,1.13,6.3115859,NA
1979-07-04,0,1.02,6.8214114,NA
1979-07-05,0,1.23,8.2882673,NA
1979-07-06,0,1.22,6.2555027,NA
1979-07-07,0,1.49,3.6784065,NA
1979-07-08,0,1.62,5.3409707,NA
1979-07-09,0,1.49,7.2564696,NA
1979-07-10,0,1.29,6.7369328,NA
1979-07-11,0,1.66,7.2251146,NA
1979-07-12,0,1.56,7.4725474,NA
1979-07-13,0,1.36,3.8646038,NA
1979-07-14,0,1.21,4.5801239,NA
1979-07-15,0,1.14,5.0284158,NA
1979-07-16,0,1.39,5.4976145,NA
1979-07-17,0,1.36,3.5057999,NA
1979-07-18,0,1.22,2.6854033,NA
1979-07-19,0,1.66,5.023572,NA
1979-07-20,0,1.56,8.0175499,NA
1979-07-21,0,1.32,7.0284707,NA
1979-07-22,0,1.41,5.7961879,NA
1979-07-23,0.53011374,1.11,5.9147857,NA
1979-07-24,0.017969661,1.06,3.5788279,NA
1979-07-25,0.0089848304,1,4.0344432,NA
1979-07-26,7.4226997e-05,1.09,3.3448935,NA
1979-07-27,0,1.17,4.6513426,NA
1979-07-28,0,1.07,7.3736027,NA
1979-07-29,0,1.32,5.7345052,NA
1979-07-30,4.9476259,1.4,5.5778423,NA
1979-07-31,27.077023,0.93,3.0584314,NA
1979-08-01,0.0089848304,0.97,2.3960892,NA
1979-08-02,0.0058632123,1.12,1.8531843,NA
1979-08-03,0.0081665469,1.3,2.1706407,NA
1979-08-04,0,1.18,5.2589343,NA
1979-08-05,0,1.54,4.8504512,NA
1979-08-06,0,1.57,6.3671208,NA
1979-08-07,0,1.92,7.5962801,NA
1979-08-08,0,2.03,7.6501531,NA
1979-08-09,0,2.15,8.2699081,NA
1979-08-10,0,1.73,8.644473,NA
1979-08-11,0,1.79,8.8177035,NA
1979-08-12,0,1.79,7.8275429,NA
1979-08-13,0,1.61,7.8234598,NA
1979-08-14,0,1.65,6.9145872,NA
1979-08-15,0,1.45,4.4389964,NA
1979-08-16,0,1.45,4.2838145,NA
1979-08-17,0,1.92,7.286161,NA
1979-08-18,0,2.25,8.7999905,NA
1979-08-19,0,2.15,9.2680879,NA
1979-08-20,0,2.16,9.0699668,NA
1979-08-21,0,2.01,8.0945248,NA
1979-08-22,0,2.08,9.1695037,NA
1979-08-23,0,2.21,9.2544684,NA
1979-08-24,9.784617,1.52,6.5149007,NA
1979-08-25,0.0089848304,1.31,3.3787775,NA
1979-08-26,0.017151377,1.84,3.415389,NA
1979-08-27,0,1.38,2.8571748,NA
1979-08-28,0,1.89,3.6103695,NA
1979-08-29,0,2.43,6.3824772,NA
1979-08-30,0.022267015,2.21,7.0551619,NA
1979-08-31,0,1.52,3.7164928,NA
1979-09-01,0,1.42,1.7956711,NA
1979-09-02,0,1.91,3.5933737,NA
1979-09-03,0,2.22,3.8210921,NA
1979-09-04,0,2.57,7.8091415,NA
1979-09-05,0,2.4,7.0681149,NA
1979-09-06,0.03906094,2.13,7.8848693,NA
1979-09-07,8.4281313,1.34,4.0031866,NA
1979-09-08,0,1.33,0.98479843,NA
1979-09-09,0,2.13,5.248631,NA
1979-09-10,0,2.24,6.8547334,NA
1979-09-11,0.090901536,1.88,4.0805037,NA
1979-09-12,2.5226617,1.51,-1.0183605,NA
1979-09-13,0,1.76,1.037655,NA
1979-09-14,0,1.53,-0.019598655,NA
1979-09-15,0,2.09,2.1290716,NA
1979-09-16,0,1.99,1.8207778,NA
1979-09-17,0,1.97,3.2547068,NA
1979-09-18,0,2.29,5.1336204,NA
1979-09-19,0,1.94,6.5919613,NA
1979-09-20,0,2.34,7.2839361,NA
1979-09-21,0,2.47,7.8635043,NA
1979-09-22,0,2.35,6.9941699,NA
1979-09-23,0,2.48,6.7292759,NA
1979-09-24,0,2.11,6.0403722,NA
1979-09-25,0,2.4,5.360342,NA
1979-09-26,0,2.18,2.9546391,NA
1979-09-27,0,1.98,2.7897266,NA
1979-09-28,0.00081828355,1.78,0.6940683,NA
1979-09-29,0,1.79,1.47037,NA
1979-09-30,0,1.83,1.2151826,NA
1979-10-01,0,1.58,0.82423987,NA
1979-10-02,0,2.02,1.7687287,NA
1979-10-03,0,2.17,2.2367746,NA
1979-10-04,0,2.06,2.2878255,NA
1979-10-05,0,2,2.7167409,NA
1979-10-06,0,2.44,3.2450728,NA
1979-10-07,0,3.11,7.1022204,NA
1979-10-08,0,3.54,10.431079,NA
1979-10-09,0,3.38,10.925698,NA
1979-10-10,0,2.97,10.627052,NA
1979-10-11,0,2.9,9.7259055,NA
1979-10-12,0,2.55,6.5418874,NA
1979-10-13,0,2.86,7.1370916,NA
1979-10-14,0,3.17,9.001181,NA
1979-10-15,0,3.25,10.645123,NA
1979-10-16,0,3.52,10.704816,NA
1979-10-17,0,3.47,11.059388,NA
1979-10-18,0,3.25,11.006754,NA
1979-10-19,0,3.31,10.965851,NA
1979-10-20,0,2.86,8.9582335,NA
1979-10-21,0,3,7.6901147,NA
1979-10-22,0,3.02,8.2400269,NA
1979-10-23,0,3.06,7.2528659,NA
1979-10-24,0,2.92,7.1783931,NA
1979-10-25,0,3.06,7.7830547,NA
1979-10-26,0,3.31,9.62224,NA
1979-10-27,0,3.2,7.8253776,NA
1979-10-28,0,2.74,6.788277,NA
1979-10-29,0,2.13,5.0723404,NA
1979-10-30,0,2.94,6.1708885,0.305461429661903
1979-10-31,0,3.19,7.0212745,0.297862886635488
1979-11-01,0,3.49,10.771278,0.306981138267186
1979-11-02,0,3.29,11.147966,0.311540264083036
1979-11-03,0,3.25,11.731473,0.306981138267186
1979-11-04,0,3.43,11.431082,0.30394172105662
1979-11-05,0,2.99,10.284774,0.288744635003789
1979-11-06,0,2.3,8.2825742,0.267468714529826
1979-11-07,0.094509755,1.77,8.5230404,0.267468714529826
1979-11-08,0.020272995,2.73,7.9475625,0.300902303846054
1979-11-09,0,4.06,11.806001,0.296343178030205
1979-11-10,0,4.48,14.530811,0.293303760819638
1979-11-11,0,3.66,12.188073,0.297862886635488
1979-11-12,0,2.36,8.6784682,0.288744635003789
1979-11-13,0,3,9.821245,0.288744635003789
1979-11-14,0,3.86,11.382631,0.294823469424921
1979-11-15,0,3.58,11.126781,0.290264343609072
1979-11-16,1.9223322,2.58,9.8279757,0.293303760819638
1979-11-17,0.59289018,2.17,5.0916144,0.306981138267186
1979-11-18,0.0089848304,2.52,7.1413034,0.316099389898885
1979-11-19,0,3.25,11.191318,0.313059972688319
1979-11-20,0,3.33,9.5879489,0.297862886635488
1979-11-21,0,3.24,8.9544783,0.297862886635488
1979-11-22,0,3.32,9.9152251,0.297862886635488
1979-11-23,0,3.34,9.6852938,0.297862886635488
1979-11-24,0.004235242,3.39,11.169585,0.293303760819638
1979-11-25,0,3.81,12.153234,0.293303760819638
1979-11-26,0.035939322,4.16,14.174349,0.287224926398506
1979-11-27,0.22061913,2.62,10.281188,0.282665800582657
1979-11-28,0,3.23,11.903217,0.287224926398506
1979-11-29,0,2.63,10.541941,0.275067257556241
1979-11-30,0,2.73,10.224953,0.252271628476995
1979-12-01,0,3.31,10.17936,0.278106674766807
1979-12-02,0,2.59,9.3234384,0.288744635003789
1979-12-03,0,2.47,9.6658294,0.275067257556241
1979-12-04,0,2.62,8.5915951,0.281146091977374
1979-12-05,0,2.48,8.5059985,0.25987017150341
1979-12-06,0,3.23,10.608739,0.25987017150341
1979-12-07,0,4.62,12.550095,0.267468714529826
1979-12-08,0,4.82,14.291126,0.267468714529826
1979-12-09,0,4.26,15.882794,0.267468714529826
1979-12-10,0,4.09,13.482331,0.261389880108693
1979-12-11,0,3.64,13.342014,0.262909588713976
1979-12-12,0,3.73,12.213234,0.261389880108693
1979-12-13,0.0047495884,2.55,8.8879718,0.276586966161524
1979-12-14,0.0031216181,3.23,9.8797478,0.285705217793223
1979-12-15,0,4,9.2266037,0.252271628476995
1979-12-16,0,3.74,12.331545,0.243153376845296
1979-12-17,0,3.55,12.164283,0.241633668240013
1979-12-18,0,2.94,10.572567,0.232515416608314
1979-12-19,0,3.31,9.5701025,0.230995708003031
1979-12-20,0,3.11,9.4864047,0.230995708003031
1979-12-21,0,3.44,10.582249,0.230995708003031
1979-12-22,0,3.57,10.945065,0.238594251029447
1979-12-23,0,3.97,11.895332,0.252271628476995
1979-12-24,0.004235242,3.94,12.508369,0.253791337082278
1979-12-25,0,3.45,12.332787,0.243153376845296
1979-12-26,0,3.71,11.499308,0.232515416608314
1979-12-27,0,3.74,12.514192,0.230995708003031
1979-12-28,0,4.35,13.804146,0.230995708003031
1979-12-29,0.0031216181,3.76,13.628373,0.232515416608314
1979-12-30,0.0031216181,3.49,12.874032,0.24011395963473
1979-12-31,0,3.94,13.790631,0.250751919871712
1980-01-01,0,4.27,13.901234,0.244673085450579
1980-01-02,0,4.21,13.220953,0.230995708003031
1980-01-03,0,3.91,12.33746,0.211239496134351
1980-01-04,0,3.65,10.718289,0.221877456371333
1980-01-05,0,4.22,13.326546,0.243153376845296
1980-01-06,0,4.34,13.36947,0.250751919871712
1980-01-07,0,4.11,12.523557,0.208200078923785
1980-01-08,0,4.47,13.638208,0.227956290792465
1980-01-09,0.0050535256,4.54,13.839893,0.168687655186424
1980-01-10,0,4.37,13.487672,0.0899667494327595
1980-01-11,0,4.23,14.055854,0.238594251029447
1980-01-12,0,4.36,14.32836,0.255311045687561
1980-01-13,0.037742302,3.68,12.061413,0.255311045687561
1980-01-14,0,3.69,11.82978,0.275067257556241
1980-01-15,0,4.14,12.528525,0.217318330555483
1980-01-16,0,4.13,13.624212,0.200601535897369
1980-01-17,0,4.16,13.569254,0.197562118686803
1980-01-18,0,4.16,13.654224,0.224916873581899
1980-01-19,0.013220072,3.76,15.007639,0.287224926398506
1980-01-20,0.19554627,3.83,12.804298,0.250751919871712
1980-01-21,0.004235242,3.92,13.219707,0.237074542424164
1980-01-22,0,4.11,15.35794,0.218838039160766
1980-01-23,0,3.94,13.481292,0.206680370318502
1980-01-24,0,4.16,13.819264,0.197562118686803
1980-01-25,0,3.9,13.245364,NA
1980-01-26,0,3.9,13.857246,NA
1980-01-27,0,3.79,12.453825,NA
1980-01-28,0,3.89,12.441617,NA
1980-01-29,0.017969661,3.26,11.312801,NA
1980-01-30,0.0034169585,3.18,10.366415,NA
1980-01-31,0.0034169585,3.57,10.668078,NA
1980-02-01,0,3.6,10.759108,NA
1980-02-02,0,3.31,10.256186,NA
1980-02-03,0,3.56,9.397916,NA
1980-02-04,0,3.09,9.3427478,NA
1980-02-05,0,3.53,11.368687,NA
1980-02-06,0,3.56,10.925294,NA
1980-02-07,0,4.24,13.622919,NA
1980-02-08,0,4.23,13.151569,NA
1980-02-09,0.022793476,2.23,7.8746978,NA
1980-02-10,0,3.38,9.8216887,NA
1980-02-11,0,3.73,10.901914,NA
1980-02-12,0,3.91,13.843439,NA
1980-02-13,0,4.19,15.151145,NA
1980-02-14,0,3.72,12.999411,NA
1980-02-15,0,4.04,15.360838,NA
1980-02-16,0.014038356,3.71,14.245875,NA
1980-02-17,0.004235242,3.63,14.034231,NA
1980-02-18,0,3.64,13.20787,NA
1980-02-19,0,2.99,12.92845,NA
1980-02-20,0.29662982,2.88,10.960533,NA
1980-02-21,5.4669538,2.1,8.8925481,NA
1980-02-22,0,2.27,9.4076463,NA
1980-02-23,0,2.57,9.666139,NA
1980-02-24,0,3.52,12.405256,NA
1980-02-25,0,3.23,12.477307,NA
1980-02-26,0,3.14,11.577877,NA
1980-02-27,0,3.13,11.737816,NA
1980-02-28,0,3.14,11.984768,NA
1980-02-29,0,1.88,12.559445,NA
1980-03-01,0,2.95,11.904403,NA
1980-03-02,0,3.46,12.62253,NA
1980-03-03,0,3.53,13.082113,NA
1980-03-04,0,3.34,12.334994,NA
1980-03-05,0,3.17,11.813541,NA
1980-03-06,0,3.37,12.028149,NA
1980-03-07,0.00081828355,3.4,12.735131,NA
1980-03-08,0.004235242,3.15,13.748483,NA
1980-03-09,0.27445023,2.5,12.535164,NA
1980-03-10,0.021091279,2.49,12.517727,NA
1980-03-11,0.0023775615,2.76,12.675529,NA
1980-03-12,0,3.08,14.30606,NA
1980-03-13,0,3.24,13.007371,NA
1980-03-14,0,3.09,14.233205,NA
1980-03-15,0,3.31,13.819307,NA
1980-03-16,0,3.43,15.246963,NA
1980-03-17,0,3.59,16.351465,NA
1980-03-18,0,3.43,16.140736,NA
1980-03-19,0.020502706,3.45,16.556475,NA
1980-03-20,0.0050535256,3.11,15.106756,NA
1980-03-21,0,2.93,14.438165,NA
1980-03-22,0,2.99,14.522607,NA
1980-03-23,0,3.05,13.073827,NA
1980-03-24,0,2.84,11.665247,NA
1980-03-25,0,2.76,11.933414,NA
1980-03-26,0,3.46,14.563359,NA
1980-03-27,0,3.21,15.873532,NA
1980-03-28,0.013220072,2.83,16.526841,NA
1980-03-29,0.0031216181,2.6,13.946605,NA
1980-03-30,0,2.65,13.231866,NA
1980-03-31,0,2.56,11.905289,NA
1980-04-01,0,2.7,14.281472,NA
1980-04-02,0,2.91,13.844693,NA
1980-04-03,0,2.53,12.17123,NA
1980-04-04,0,2.65,12.695473,NA
1980-04-05,0.0089848304,2.52,12.131414,NA
1980-04-06,0.025326521,2.33,12.468746,NA
1980-04-07,0.017969661,2.31,10.571519,NA
1980-04-08,0.0081665469,1.88,9.3912987,NA
1980-04-09,24.347308,1.48,9.4327549,NA
1980-04-10,95.998135,0.05,5.3206617,NA
1980-04-11,26.139008,0.26,4.0967815,NA
1980-04-12,0.074267047,0.33,3.5117331,NA
1980-04-13,0,1.21,1.6159895,NA
1980-04-14,0,1.24,2.4347717,NA
1980-04-15,0,1.74,5.0504231,NA
1980-04-16,0,1.79,5.5118682,NA
1980-04-17,0,1.46,8.6087394,NA
1980-04-18,0,1.86,10.73084,NA
1980-04-19,0,1.98,10.679285,NA
1980-04-20,0.0089848304,1.9,11.020681,NA
1980-04-21,0,1.56,11.226398,NA
1980-04-22,5.9148903,1.46,8.6602297,NA
1980-04-23,2.3443987,1.53,7.5253876,NA
1980-04-24,0,1.62,9.769745,NA
1980-04-25,0,2.2,10.402542,NA
1980-04-26,0,2.08,8.8776618,NA
1980-04-27,0,1.93,9.399614,NA
1980-04-28,8.8823225,1.47,8.2255645,NA
1980-04-29,4.6302169,0.91,5.2818777,NA
1980-04-30,0,1.51,6.5851192,NA
1980-05-01,0,1.67,7.1848085,NA
1980-05-02,0,1.69,8.7116193,NA
1980-05-03,0,1.75,8.3112775,NA
1980-05-04,0,1.48,7.7063535,NA
1980-05-05,0,1.47,7.3123176,NA
1980-05-06,0,1.56,6.5418153,NA
1980-05-07,0,1.62,6.0281227,NA
1980-05-08,0,1.23,5.5114942,NA
1980-05-09,0.15678833,1.27,4.1359517,NA
1980-05-10,0,1.39,7.8249379,NA
1980-05-11,0,1.29,9.8902471,NA
1980-05-12,0,1.4,8.9179168,NA
1980-05-13,0,1.73,7.6989701,NA
1980-05-14,0,1.05,9.1786555,NA
1980-05-15,0.092838228,0.57,9.2896649,NA
1980-05-16,0,1.46,6.2666067,NA
1980-05-17,0,1.7,7.2673601,NA
1980-05-18,0,1.19,7.184099,NA
1980-05-19,5.295109,1.02,2.903841,NA
1980-05-20,0,1.07,5.7534565,NA
1980-05-21,0,0.35,10.811811,NA
1980-05-22,0,1.91,10.422844,NA
1980-05-23,0,0.67,11.046207,NA
1980-05-24,0,1.7,8.528332,NA
1980-05-25,0,1.59,6.5220792,NA
1980-05-26,0,1.4,6.9160679,NA
1980-05-27,0,1.19,5.6966105,NA
1980-05-28,0,1.53,6.9221753,NA
1980-05-29,0.0048238154,1.37,7.1098747,NA
1980-05-30,0,1.18,6.4567651,NA
1980-05-31,0,1.53,6.6741103,NA
1980-06-01,0,1.63,9.3387705,NA
1980-06-02,0,1.68,9.0243838,NA
1980-06-03,0,1.57,10.628009,NA
1980-06-04,0,1.53,9.3719229,NA
1980-06-05,0,1.47,7.816688,NA
1980-06-06,0,1.21,8.1988639,NA
1980-06-07,0.0089848304,1.14,5.2199279,NA
1980-06-08,0.021900966,0.69,5.2682448,NA
1980-06-09,0,1.1,4.5698507,NA
1980-06-10,0,1.25,4.2710906,NA
1980-06-11,0.50572258,0.94,2.3904912,NA
1980-06-12,0,0.77,1.5242731,NA
1980-06-13,0,1.23,3.3762202,NA
1980-06-14,0,1.26,6.5431288,NA
1980-06-15,0,1.32,8.104059,NA
1980-06-16,0,1.27,11.775505,NA
1980-06-17,0,1.5,8.8801768,NA
1980-06-18,0,1.59,8.8069395,NA
1980-06-19,0,1.64,7.6204443,NA
1980-06-20,0,1.51,8.934982,NA
1980-06-21,0,1.55,9.157175,NA
1980-06-22,0.0089848304,1.52,6.4950826,NA
1980-06-23,22.150003,0.62,4.9431144,NA
1980-06-24,0,0.79,0.16142737,NA
1980-06-25,0,0.84,-0.16026362,NA
1980-06-26,0,1.19,5.2091799,NA
1980-06-27,0,1.34,2.6240035,NA
1980-06-28,0,1.08,5.2726593,NA
1980-06-29,3.286145,0.82,0.62161031,NA
1980-06-30,0,0.87,3.6836373,NA
1980-07-01,0,1.07,2.141659,NA
1980-07-02,0,1.14,2.0095404,NA
1980-07-03,0,1.09,3.3908292,NA
1980-07-04,0,1.08,3.2005116,NA
1980-07-05,0,0.94,3.6554513,NA
1980-07-06,8.6058605,0.8,0.22658198,NA
1980-07-07,0,0.7,-2.7731526,NA
1980-07-08,0,0.92,-1.793323,NA
1980-07-09,0,1.02,-0.78917627,9.02706911538162
1980-07-10,0,1.05,1.3239967,10.3796097740836
1980-07-11,0,1.02,3.1055007,10.1668505693439
1980-07-12,0,1.12,2.9262861,10.1364563972383
1980-07-13,0,1.21,3.7701106,10.1364563972383
1980-07-14,0,1.42,5.8852356,10.1364563972383
1980-07-15,0,1.39,4.8050159,10.1364563972383
1980-07-16,0,1.3,4.2973167,10.1364563972383
1980-07-17,13.876951,0.95,4.726651,10.1364563972383
1980-07-18,30.727009,0.83,3.5082941,13.31264738228
1980-07-19,0.84909825,0.93,0.10315175,13.7989541359706
1980-07-20,0,1.22,2.1094689,11.7929387769969
1980-07-21,0,1.57,4.4933565,11.4889970559402
1980-07-22,0,1.42,5.2395699,11.0026903022496
1980-07-23,0,1.5,6.3630834,10.5315806346119
1980-07-24,13.260964,1.18,2.8765708,10.5315806346119
1980-07-25,25.928498,0.86,0.8269706,10.5163835485591
1980-07-26,0,1,0.090340952,11.6713620885742
1980-07-27,1.5326603,1.16,1.4820258,10.9570990440912
1980-07-28,0.040162449,0.96,2.0569011,10.7443398393515
1980-07-29,3.7468113,0.84,-0.76408155,10.5923689788232
1980-07-30,0,1.28,0.81704261,10.4859893764534
1980-07-31,0,1.57,6.6077856,10.5315806346119
1980-08-01,0,1.65,6.9525241,10.9874932161968
1980-08-02,11.970687,1.05,3.5522507,11.4282087117289
1980-08-03,0.072669974,1.16,0.064557211,11.8537271212082
1980-08-04,0,1.23,0.55792043,11.3978145396233
1980-08-05,0,1.55,3.570543,11.1090699046195
1980-08-06,0,1.27,3.3058826,11.3066320233063
1980-08-07,0,1.34,3.4083053,11.3522232814648
1980-08-08,0,1.51,2.0443716,10.8051281835628
1980-08-09,0,1.68,5.9731725,10.6227631509289
1980-08-10,0,1.82,5.2831864,10.8355223556685
1980-08-11,0,1.93,7.123638,11.2762378512006
1980-08-12,0,1.53,6.4572616,11.3978145396233
1980-08-13,0,1.96,6.4803957,11.5193912280459
1980-08-14,0,2.08,9.7879199,11.7321504327855
1980-08-15,0,1.91,9.6067029,11.777741690944
1980-08-16,0,1.7,8.038339,11.2914349372534
1980-08-17,0,1.54,6.8154338,11.1850553348836
1980-08-18,0,1.46,5.1155723,11.1090699046195
1980-08-19,0,1.59,3.1481415,11.0330844743553
